query,label
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' AND 1=(SELECT COUNT(*) FROM tab); --', '{}', {});",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('381', '247', 794);",benign
SELECT * FROM users WHERE id='' AND 1=(SELECT COUNT(*) FROM tab); --';,attack
DELETE FROM sessions WHERE session_id='805';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('133', '504', 275);",benign
UPDATE products SET price=' OR 1=1-- WHERE id='{}';,attack
UPDATE products SET price=' OR '1'='1 WHERE id='{}';,attack
"SELECT name, email FROM customers WHERE email='664';",benign
UPDATE products SET price='; EXEC xp_cmdshell('dir'); -- WHERE id='{}';,attack
SELECT * FROM users WHERE id='363';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('319', '900', 822);",benign
SELECT * FROM users WHERE id='85';,benign
UPDATE products SET price=' OR 1=1-- WHERE id='{}';,attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('957', '734', 625);",benign
UPDATE products SET price='; DROP TABLE users; -- WHERE id='{}';,attack
"SELECT name, email FROM customers WHERE email='' UNION SELECT NULL, version(), NULL --';",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR '1'='1', '{}', {});",attack
SELECT * FROM users WHERE id='644';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' UNION SELECT NULL, version(), NULL --', '{}', {});",attack
UPDATE products SET price=652 WHERE id='404';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('332', '176', 510);",benign
UPDATE products SET price=' OR 1=1-- WHERE id='{}';,attack
DELETE FROM sessions WHERE session_id='910';,benign
DELETE FROM sessions WHERE session_id='57';,benign
SELECT * FROM users WHERE id='160';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('831', '366', 928);",benign
DELETE FROM sessions WHERE session_id=''; EXEC xp_cmdshell('dir'); --';,attack
DELETE FROM sessions WHERE session_id='47';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' AND 1=(SELECT COUNT(*) FROM tab); --', '{}', {});",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('28', '353', 376);",benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('813', '975', 438);",benign
DELETE FROM sessions WHERE session_id='' OR '1'='1';,attack
DELETE FROM sessions WHERE session_id='532';,benign
"SELECT name, email FROM customers WHERE email='' UNION SELECT NULL, version(), NULL --';",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('382', '924', 16);",benign
"SELECT name, email FROM customers WHERE email='' UNION SELECT NULL, version(), NULL --';",attack
UPDATE products SET price=177 WHERE id='798';,benign
DELETE FROM sessions WHERE session_id='364';,benign
SELECT * FROM users WHERE id='' AND 1=(SELECT COUNT(*) FROM tab); --';,attack
SELECT * FROM users WHERE id='362';,benign
"SELECT name, email FROM customers WHERE email='' AND 1=(SELECT COUNT(*) FROM tab); --';",attack
"SELECT name, email FROM customers WHERE email='' AND 1=(SELECT COUNT(*) FROM tab); --';",attack
SELECT * FROM users WHERE id='851';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('244', '853', 397);",benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR 1=1--', '{}', {});",attack
SELECT * FROM users WHERE id=''; DROP TABLE users; --';,attack
SELECT * FROM users WHERE id='' OR 1=1--';,attack
"UPDATE products SET price=' UNION SELECT NULL, version(), NULL -- WHERE id='{}';",attack
DELETE FROM sessions WHERE session_id=''; EXEC xp_cmdshell('dir'); --';,attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES (''; DROP TABLE users; --', '{}', {});",attack
SELECT * FROM users WHERE id='665';,benign
DELETE FROM sessions WHERE session_id='96';,benign
"SELECT name, email FROM customers WHERE email='' OR '1'='1';",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('180', '479', 512);",benign
DELETE FROM sessions WHERE session_id='366';,benign
SELECT * FROM users WHERE id='890';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR 1=1--', '{}', {});",attack
SELECT * FROM users WHERE id='85';,benign
UPDATE products SET price=570 WHERE id='726';,benign
"SELECT name, email FROM customers WHERE email='858';",benign
"SELECT name, email FROM customers WHERE email='' AND 1=(SELECT COUNT(*) FROM tab); --';",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES (''; EXEC xp_cmdshell('dir'); --', '{}', {});",attack
SELECT * FROM users WHERE id=''; DROP TABLE users; --';,attack
"SELECT name, email FROM customers WHERE email='211';",benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES (''; DROP TABLE users; --', '{}', {});",attack
UPDATE products SET price=401 WHERE id='776';,benign
UPDATE products SET price=690 WHERE id='900';,benign
SELECT * FROM users WHERE id='991';,benign
"SELECT name, email FROM customers WHERE email='15';",benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('990', '35', 27);",benign
SELECT * FROM users WHERE id='' AND 1=(SELECT COUNT(*) FROM tab); --';,attack
UPDATE products SET price=516 WHERE id='281';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('776', '287', 632);",benign
SELECT * FROM users WHERE id='578';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' UNION SELECT NULL, version(), NULL --', '{}', {});",attack
UPDATE products SET price=609 WHERE id='640';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('621', '579', 547);",benign
"SELECT name, email FROM customers WHERE email='' AND 1=(SELECT COUNT(*) FROM tab); --';",attack
UPDATE products SET price=372 WHERE id='129';,benign
"SELECT name, email FROM customers WHERE email=''; EXEC xp_cmdshell('dir'); --';",attack
SELECT * FROM users WHERE id=''; EXEC xp_cmdshell('dir'); --';,attack
DELETE FROM sessions WHERE session_id='15';,benign
"SELECT name, email FROM customers WHERE email='596';",benign
DELETE FROM sessions WHERE session_id='' OR 1=1--';,attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('942', '850', 307);",benign
"SELECT name, email FROM customers WHERE email='2';",benign
SELECT * FROM users WHERE id='684';,benign
UPDATE products SET price=' OR '1'='1 WHERE id='{}';,attack
UPDATE products SET price=' OR '1'='1 WHERE id='{}';,attack
"SELECT name, email FROM customers WHERE email='196';",benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('484', '775', 326);",benign
"SELECT name, email FROM customers WHERE email='408';",benign
"SELECT name, email FROM customers WHERE email='475';",benign
"SELECT name, email FROM customers WHERE email='' AND 1=(SELECT COUNT(*) FROM tab); --';",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES (''; DROP TABLE users; --', '{}', {});",attack
"SELECT name, email FROM customers WHERE email='' AND 1=(SELECT COUNT(*) FROM tab); --';",attack
"SELECT name, email FROM customers WHERE email='254';",benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES (''; EXEC xp_cmdshell('dir'); --', '{}', {});",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR '1'='1', '{}', {});",attack
DELETE FROM sessions WHERE session_id=''; DROP TABLE users; --';,attack
DELETE FROM sessions WHERE session_id='' AND 1=(SELECT COUNT(*) FROM tab); --';,attack
"UPDATE products SET price=' UNION SELECT NULL, version(), NULL -- WHERE id='{}';",attack
UPDATE products SET price=' OR 1=1-- WHERE id='{}';,attack
SELECT * FROM users WHERE id=''; EXEC xp_cmdshell('dir'); --';,attack
SELECT * FROM users WHERE id='' OR 1=1--';,attack
SELECT * FROM users WHERE id='726';,benign
SELECT * FROM users WHERE id='260';,benign
DELETE FROM sessions WHERE session_id='' OR 1=1--';,attack
DELETE FROM sessions WHERE session_id='227';,benign
"SELECT name, email FROM customers WHERE email='842';",benign
UPDATE products SET price=' OR '1'='1 WHERE id='{}';,attack
UPDATE products SET price=363 WHERE id='314';,benign
"SELECT name, email FROM customers WHERE email=''; DROP TABLE users; --';",attack
DELETE FROM sessions WHERE session_id='853';,benign
UPDATE products SET price='; DROP TABLE users; -- WHERE id='{}';,attack
SELECT * FROM users WHERE id='1000';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' UNION SELECT NULL, version(), NULL --', '{}', {});",attack
UPDATE products SET price=' OR 1=1-- WHERE id='{}';,attack
DELETE FROM sessions WHERE session_id=''; EXEC xp_cmdshell('dir'); --';,attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('78', '322', 849);",benign
SELECT * FROM users WHERE id='877';,benign
UPDATE products SET price=' AND 1=(SELECT COUNT(*) FROM tab); -- WHERE id='{}';,attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR 1=1--', '{}', {});",attack
"SELECT name, email FROM customers WHERE email='' OR '1'='1';",attack
DELETE FROM sessions WHERE session_id=''; EXEC xp_cmdshell('dir'); --';,attack
DELETE FROM sessions WHERE session_id='461';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR '1'='1', '{}', {});",attack
SELECT * FROM users WHERE id='193';,benign
DELETE FROM sessions WHERE session_id='807';,benign
"SELECT name, email FROM customers WHERE email='922';",benign
SELECT * FROM users WHERE id='692';,benign
DELETE FROM sessions WHERE session_id=''; DROP TABLE users; --';,attack
"SELECT name, email FROM customers WHERE email='399';",benign
"SELECT name, email FROM customers WHERE email='556';",benign
"UPDATE products SET price=' UNION SELECT NULL, version(), NULL -- WHERE id='{}';",attack
DELETE FROM sessions WHERE session_id='708';,benign
"SELECT name, email FROM customers WHERE email=''; EXEC xp_cmdshell('dir'); --';",attack
UPDATE products SET price=' OR 1=1-- WHERE id='{}';,attack
"SELECT name, email FROM customers WHERE email='940';",benign
"SELECT name, email FROM customers WHERE email='34';",benign
DELETE FROM sessions WHERE session_id='175';,benign
UPDATE products SET price=991 WHERE id='517';,benign
UPDATE products SET price=711 WHERE id='129';,benign
UPDATE products SET price='; EXEC xp_cmdshell('dir'); -- WHERE id='{}';,attack
"SELECT name, email FROM customers WHERE email=''; DROP TABLE users; --';",attack
"SELECT name, email FROM customers WHERE email='41';",benign
"SELECT name, email FROM customers WHERE email='344';",benign
SELECT * FROM users WHERE id='' OR '1'='1';,attack
SELECT * FROM users WHERE id=''; DROP TABLE users; --';,attack
UPDATE products SET price=' OR '1'='1 WHERE id='{}';,attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('960', '283', 232);",benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('978', '261', 503);",benign
UPDATE products SET price='; DROP TABLE users; -- WHERE id='{}';,attack
UPDATE products SET price=' AND 1=(SELECT COUNT(*) FROM tab); -- WHERE id='{}';,attack
UPDATE products SET price=' AND 1=(SELECT COUNT(*) FROM tab); -- WHERE id='{}';,attack
DELETE FROM sessions WHERE session_id='94';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR 1=1--', '{}', {});",attack
UPDATE products SET price='; DROP TABLE users; -- WHERE id='{}';,attack
DELETE FROM sessions WHERE session_id='' OR '1'='1';,attack
SELECT * FROM users WHERE id=''; DROP TABLE users; --';,attack
DELETE FROM sessions WHERE session_id=''; DROP TABLE users; --';,attack
UPDATE products SET price=281 WHERE id='897';,benign
SELECT * FROM users WHERE id='477';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('393', '476', 954);",benign
UPDATE products SET price='; DROP TABLE users; -- WHERE id='{}';,attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR 1=1--', '{}', {});",attack
UPDATE products SET price=567 WHERE id='283';,benign
SELECT * FROM users WHERE id='979';,benign
DELETE FROM sessions WHERE session_id=''; DROP TABLE users; --';,attack
SELECT * FROM users WHERE id='117';,benign
UPDATE products SET price=394 WHERE id='45';,benign
"SELECT name, email FROM customers WHERE email='82';",benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' UNION SELECT NULL, version(), NULL --', '{}', {});",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('948', '308', 746);",benign
"UPDATE products SET price=' UNION SELECT NULL, version(), NULL -- WHERE id='{}';",attack
"SELECT name, email FROM customers WHERE email='397';",benign
UPDATE products SET price=15 WHERE id='41';,benign
DELETE FROM sessions WHERE session_id='' AND 1=(SELECT COUNT(*) FROM tab); --';,attack
SELECT * FROM users WHERE id='' OR '1'='1';,attack
UPDATE products SET price=' OR '1'='1 WHERE id='{}';,attack
UPDATE products SET price=862 WHERE id='825';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR '1'='1', '{}', {});",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES (''; DROP TABLE users; --', '{}', {});",attack
UPDATE products SET price=436 WHERE id='810';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR 1=1--', '{}', {});",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR 1=1--', '{}', {});",attack
DELETE FROM sessions WHERE session_id='' OR '1'='1';,attack
"SELECT name, email FROM customers WHERE email='645';",benign
"SELECT * FROM users WHERE id='' UNION SELECT NULL, version(), NULL --';",attack
UPDATE products SET price=758 WHERE id='668';,benign
"SELECT name, email FROM customers WHERE email=''; EXEC xp_cmdshell('dir'); --';",attack
DELETE FROM sessions WHERE session_id='387';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('700', '194', 913);",benign
"SELECT name, email FROM customers WHERE email='' UNION SELECT NULL, version(), NULL --';",attack
SELECT * FROM users WHERE id='819';,benign
"SELECT name, email FROM customers WHERE email='419';",benign
SELECT * FROM users WHERE id='704';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('929', '665', 473);",benign
SELECT * FROM users WHERE id='140';,benign
SELECT * FROM users WHERE id='186';,benign
SELECT * FROM users WHERE id='895';,benign
"SELECT name, email FROM customers WHERE email='' UNION SELECT NULL, version(), NULL --';",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR 1=1--', '{}', {});",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES (''; EXEC xp_cmdshell('dir'); --', '{}', {});",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('503', '742', 588);",benign
"SELECT name, email FROM customers WHERE email='' AND 1=(SELECT COUNT(*) FROM tab); --';",attack
SELECT * FROM users WHERE id='777';,benign
UPDATE products SET price=657 WHERE id='76';,benign
SELECT * FROM users WHERE id=''; DROP TABLE users; --';,attack
SELECT * FROM users WHERE id='927';,benign
UPDATE products SET price=637 WHERE id='807';,benign
SELECT * FROM users WHERE id='167';,benign
"SELECT name, email FROM customers WHERE email=''; EXEC xp_cmdshell('dir'); --';",attack
SELECT * FROM users WHERE id=''; DROP TABLE users; --';,attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES (''; EXEC xp_cmdshell('dir'); --', '{}', {});",attack
UPDATE products SET price=488 WHERE id='4';,benign
UPDATE products SET price=368 WHERE id='782';,benign
UPDATE products SET price=78 WHERE id='808';,benign
"SELECT name, email FROM customers WHERE email=''; DROP TABLE users; --';",attack
"SELECT * FROM users WHERE id='' UNION SELECT NULL, version(), NULL --';",attack
"SELECT name, email FROM customers WHERE email='' AND 1=(SELECT COUNT(*) FROM tab); --';",attack
"SELECT name, email FROM customers WHERE email='' AND 1=(SELECT COUNT(*) FROM tab); --';",attack
DELETE FROM sessions WHERE session_id='' OR 1=1--';,attack
SELECT * FROM users WHERE id='833';,benign
SELECT * FROM users WHERE id='307';,benign
UPDATE products SET price=32 WHERE id='21';,benign
SELECT * FROM users WHERE id=''; DROP TABLE users; --';,attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('380', '65', 126);",benign
"UPDATE products SET price=' UNION SELECT NULL, version(), NULL -- WHERE id='{}';",attack
"SELECT name, email FROM customers WHERE email='563';",benign
DELETE FROM sessions WHERE session_id='' OR 1=1--';,attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' AND 1=(SELECT COUNT(*) FROM tab); --', '{}', {});",attack
DELETE FROM sessions WHERE session_id='645';,benign
"SELECT name, email FROM customers WHERE email='620';",benign
DELETE FROM sessions WHERE session_id='' OR '1'='1';,attack
UPDATE products SET price=' AND 1=(SELECT COUNT(*) FROM tab); -- WHERE id='{}';,attack
SELECT * FROM users WHERE id='423';,benign
"SELECT * FROM users WHERE id='' UNION SELECT NULL, version(), NULL --';",attack
UPDATE products SET price=910 WHERE id='940';,benign
"SELECT name, email FROM customers WHERE email='158';",benign
SELECT * FROM users WHERE id='655';,benign
DELETE FROM sessions WHERE session_id=''; DROP TABLE users; --';,attack
UPDATE products SET price=797 WHERE id='568';,benign
SELECT * FROM users WHERE id='' OR 1=1--';,attack
UPDATE products SET price=' OR '1'='1 WHERE id='{}';,attack
UPDATE products SET price=313 WHERE id='848';,benign
"SELECT name, email FROM customers WHERE email='650';",benign
SELECT * FROM users WHERE id='236';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES (''; DROP TABLE users; --', '{}', {});",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('704', '430', 688);",benign
"SELECT name, email FROM customers WHERE email=''; DROP TABLE users; --';",attack
UPDATE products SET price='; DROP TABLE users; -- WHERE id='{}';,attack
"SELECT * FROM users WHERE id='' UNION SELECT NULL, version(), NULL --';",attack
"SELECT name, email FROM customers WHERE email='' AND 1=(SELECT COUNT(*) FROM tab); --';",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR 1=1--', '{}', {});",attack
SELECT * FROM users WHERE id='' OR '1'='1';,attack
DELETE FROM sessions WHERE session_id='410';,benign
UPDATE products SET price='; DROP TABLE users; -- WHERE id='{}';,attack
UPDATE products SET price='; DROP TABLE users; -- WHERE id='{}';,attack
DELETE FROM sessions WHERE session_id='' OR '1'='1';,attack
DELETE FROM sessions WHERE session_id='' AND 1=(SELECT COUNT(*) FROM tab); --';,attack
"DELETE FROM sessions WHERE session_id='' UNION SELECT NULL, version(), NULL --';",attack
UPDATE products SET price='; DROP TABLE users; -- WHERE id='{}';,attack
UPDATE products SET price=268 WHERE id='172';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR '1'='1', '{}', {});",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('886', '2', 635);",benign
SELECT * FROM users WHERE id='' OR 1=1--';,attack
"SELECT name, email FROM customers WHERE email=''; DROP TABLE users; --';",attack
"SELECT name, email FROM customers WHERE email='187';",benign
SELECT * FROM users WHERE id='425';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES (''; EXEC xp_cmdshell('dir'); --', '{}', {});",attack
SELECT * FROM users WHERE id='744';,benign
UPDATE products SET price=609 WHERE id='368';,benign
DELETE FROM sessions WHERE session_id=''; DROP TABLE users; --';,attack
"SELECT name, email FROM customers WHERE email='111';",benign
UPDATE products SET price=969 WHERE id='703';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('653', '895', 824);",benign
UPDATE products SET price=' OR '1'='1 WHERE id='{}';,attack
"DELETE FROM sessions WHERE session_id='' UNION SELECT NULL, version(), NULL --';",attack
UPDATE products SET price='; DROP TABLE users; -- WHERE id='{}';,attack
"SELECT name, email FROM customers WHERE email=''; DROP TABLE users; --';",attack
SELECT * FROM users WHERE id='' OR '1'='1';,attack
UPDATE products SET price=443 WHERE id='960';,benign
SELECT * FROM users WHERE id='472';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' UNION SELECT NULL, version(), NULL --', '{}', {});",attack
"SELECT name, email FROM customers WHERE email='800';",benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('206', '246', 791);",benign
SELECT * FROM users WHERE id=''; EXEC xp_cmdshell('dir'); --';,attack
UPDATE products SET price=453 WHERE id='780';,benign
UPDATE products SET price=' OR 1=1-- WHERE id='{}';,attack
DELETE FROM sessions WHERE session_id='180';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR 1=1--', '{}', {});",attack
DELETE FROM sessions WHERE session_id='410';,benign
DELETE FROM sessions WHERE session_id='229';,benign
UPDATE products SET price=616 WHERE id='897';,benign
SELECT * FROM users WHERE id='' OR '1'='1';,attack
"SELECT name, email FROM customers WHERE email='234';",benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('366', '33', 882);",benign
SELECT * FROM users WHERE id='90';,benign
DELETE FROM sessions WHERE session_id='502';,benign
UPDATE products SET price=841 WHERE id='196';,benign
UPDATE products SET price=' AND 1=(SELECT COUNT(*) FROM tab); -- WHERE id='{}';,attack
UPDATE products SET price=' AND 1=(SELECT COUNT(*) FROM tab); -- WHERE id='{}';,attack
UPDATE products SET price=' OR 1=1-- WHERE id='{}';,attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('352', '131', 130);",benign
SELECT * FROM users WHERE id='' OR '1'='1';,attack
SELECT * FROM users WHERE id='287';,benign
"SELECT name, email FROM customers WHERE email=''; DROP TABLE users; --';",attack
SELECT * FROM users WHERE id='322';,benign
SELECT * FROM users WHERE id='485';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES (''; EXEC xp_cmdshell('dir'); --', '{}', {});",attack
"SELECT name, email FROM customers WHERE email=''; DROP TABLE users; --';",attack
SELECT * FROM users WHERE id='445';,benign
"SELECT name, email FROM customers WHERE email='' OR '1'='1';",attack
SELECT * FROM users WHERE id='331';,benign
SELECT * FROM users WHERE id='65';,benign
UPDATE products SET price=491 WHERE id='675';,benign
DELETE FROM sessions WHERE session_id='239';,benign
DELETE FROM sessions WHERE session_id='' OR '1'='1';,attack
SELECT * FROM users WHERE id='85';,benign
SELECT * FROM users WHERE id=''; DROP TABLE users; --';,attack
DELETE FROM sessions WHERE session_id='451';,benign
UPDATE products SET price=' OR '1'='1 WHERE id='{}';,attack
DELETE FROM sessions WHERE session_id='672';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR '1'='1', '{}', {});",attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('888', '410', 256);",benign
UPDATE products SET price=741 WHERE id='22';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('' OR 1=1--', '{}', {});",attack
UPDATE products SET price=81 WHERE id='787';,benign
SELECT * FROM users WHERE id=''; EXEC xp_cmdshell('dir'); --';,attack
SELECT * FROM users WHERE id='' OR '1'='1';,attack
"INSERT INTO orders (user_id, product_id, quantity) VALUES (''; EXEC xp_cmdshell('dir'); --', '{}', {});",attack
"DELETE FROM sessions WHERE session_id='' UNION SELECT NULL, version(), NULL --';",attack
SELECT * FROM users WHERE id='30';,benign
DELETE FROM sessions WHERE session_id='' AND 1=(SELECT COUNT(*) FROM tab); --';,attack
DELETE FROM sessions WHERE session_id='112';,benign
"INSERT INTO orders (user_id, product_id, quantity) VALUES ('193', '546', 895);",benign
UPDATE products SET price=' AND 1=(SELECT COUNT(*) FROM tab); -- WHERE id='{}';,attack
"SELECT name, email FROM customers WHERE email=''; EXEC xp_cmdshell('dir'); --';",attack
UPDATE products SET price=' OR 1=1-- WHERE id='{}';,attack
"SELECT name, email FROM customers WHERE email='' AND 1=(SELECT COUNT(*) FROM tab); --';",attack
UPDATE products SET price=' AND 1=(SELECT COUNT(*) FROM tab); -- WHERE id='{}';,attack
UPDATE products SET price=808 WHERE id='415';,benign
"SELECT name, email FROM customers WHERE email='183';",benign
SELECT * FROM users WHERE id='671';,benign
"SELECT name, email FROM customers WHERE email=''; DROP TABLE users; --';",attack
"SELECT name, email FROM customers WHERE email='742';",benign
SELECT * FROM users WHERE id='979';,benign
DELETE FROM sessions WHERE session_id='955';,benign
"SELECT name, email FROM customers WHERE email='' OR 1=1--';",attack
SELECT * FROM users WHERE id=''; EXEC xp_cmdshell('dir'); --';,attack
DELETE FROM sessions WHERE session_id='736';,benign
DELETE FROM sessions WHERE session_id=''; EXEC xp_cmdshell('dir'); --';,attack
UPDATE products SET price=' OR 1=1-- WHERE id='{}';,attack
